Time,ID,Grade,A,B,C,D,F,N
2020-02-26 07:02:12,001020,N,0.00,0.00,0.00,0.00,0.00,0.99
2020-02-26 07:51:56,001021,B,0.07,0.59,0.17,0.16,0.01,0.00
2020-02-26 07:56:02,001022,A,1.00,0.00,0.00,0.00,0.00,0.00
2020-02-26 08:00:34,001023,B,0.05,0.62,0.23,0.09,0.01,0.00
2020-02-26 08:18:03,001024,A,0.33,0.30,0.29,0.07,0.01,0.00
2020-02-26 08:25:18,001025,C,0.00,0.07,0.72,0.11,0.10,0.00
2020-02-26 08:28:31,001026,B,0.11,0.77,0.06,0.05,0.01,0.00
2020-02-26 08:41:19,001027,A,0.86,0.10,0.01,0.02,0.00,0.00
2020-02-26 08:41:28,001028,A,0.84,0.14,0.01,0.00,0.00,0.00
2020-02-26 08:52:25,001029,A,0.96,0.03,0.01,0.00,0.00,0.00
2020-02-26 08:58:16,001030,B,0.05,0.52,0.38,0.05,0.01,0.00
2020-02-26 09:02:54,001031,A,0.96,0.04,0.00,0.00,0.00,0.00
2020-02-26 09:03:50,001032,A,0.93,0.05,0.00,0.00,0.00,0.00
2020-02-26 09:05:00,001033,A,0.72,0.12,0.04,0.11,0.01,0.00
2020-02-26 09:05:59,001034,A,0.90,0.06,0.03,0.01,0.00,0.00
2020-02-26 09:06:10,001035,B,0.06,0.81,0.08,0.04,0.00,0.00
2020-02-26 09:06:55,001036,A,0.93,0.06,0.01,0.00,0.00,0.01
2020-02-26 09:11:13,001037,B,0.30,0.68,0.02,0.01,0.00,0.00
2020-02-26 09:11:37,001038,A,0.70,0.28,0.01,0.01,0.00,0.00
2020-02-26 09:20:24,001039,A,0.80,0.07,0.01,0.01,0.00,0.12
2020-02-26 09:21:51,001040,B,0.08,0.73,0.08,0.09,0.02,0.00
2020-02-26 09:22:12,001041,C,0.09,0.28,0.37,0.12,0.04,0.09
2020-02-26 09:24:00,001042,B,0.09,0.80,0.10,0.01,0.00,0.00
2020-02-26 09:30:19,001043,B,0.04,0.43,0.13,0.27,0.13,0.00
2020-02-26 09:40:14,001044,C,0.03,0.24,0.35,0.33,0.06,0.00
2020-02-26 09:40:18,001045,A,0.92,0.04,0.01,0.02,0.01,0.01
2020-02-26 09:48:50,001046,A,0.77,0.15,0.03,0.01,0.00,0.04
2020-02-26 10:07:08,001047,N,0.00,0.00,0.00,0.00,0.00,0.99
2020-02-26 10:07:12,001048,A,0.66,0.20,0.02,0.01,0.00,0.10
2020-02-26 10:11:20,001049,N,0.00,0.00,0.01,0.03,0.03,0.94
2020-02-26 10:12:51,001050,N,0.02,0.01,0.01,0.00,0.00,0.96
2020-02-26 10:23:47,001051,N,0.11,0.01,0.01,0.28,0.02,0.57
2020-02-26 10:31:54,001052,A,0.64,0.31,0.05,0.00,0.00,0.00
2020-02-26 10:32:12,001053,A,0.75,0.24,0.01,0.00,0.00,0.00
2020-02-26 10:35:04,001054,A,0.88,0.11,0.00,0.00,0.00,0.00
2020-02-26 10:46:23,001055,A,0.51,0.43,0.01,0.01,0.01,0.03
2020-02-26 10:51:35,001056,A,0.50,0.49,0.00,0.00,0.00,0.00
2020-02-26 10:56:46,001057,A,0.77,0.23,0.00,0.00,0.00,0.00
2020-02-26 10:57:54,001058,B,0.08,0.80,0.12,0.00,0.00,0.00
2020-02-26 10:58:24,001059,B,0.09,0.87,0.03,0.01,0.00,0.00
2020-02-26 10:59:33,001060,B,0.16,0.83,0.00,0.00,0.00,0.00
2020-02-26 11:04:24,001061,B,0.03,0.84,0.12,0.00,0.00,0.00
2020-02-26 11:05:00,001062,B,0.14,0.78,0.03,0.02,0.03,0.00
2020-02-26 11:05:21,001063,B,0.01,0.73,0.20,0.06,0.00,0.00
2020-02-26 11:06:15,001064,B,0.01,0.94,0.04,0.00,0.00,0.00
2020-02-26 11:06:20,001065,B,0.16,0.69,0.06,0.07,0.02,0.00
2020-02-26 11:06:29,001066,B,0.47,0.48,0.04,0.00,0.00,0.00
2020-02-26 11:07:34,001067,D,0.00,0.04,0.19,0.76,0.01,0.00
2020-02-26 11:07:48,001068,B,0.13,0.87,0.00,0.00,0.00,0.00
2020-02-26 11:10:59,001069,B,0.02,0.96,0.01,0.00,0.00,0.00
2020-02-26 11:15:15,001070,B,0.06,0.92,0.01,0.00,0.00,0.00
2020-02-26 11:16:26,001071,C,0.00,0.22,0.45,0.31,0.02,0.00
2020-02-26 11:18:38,001072,B,0.04,0.93,0.02,0.00,0.00,0.00
2020-02-26 11:18:55,001073,N,0.01,0.01,0.00,0.00,0.01,0.97
2020-02-26 11:19:12,001074,B,0.42,0.44,0.13,0.01,0.00,0.00
2020-02-26 11:28:28,001075,B,0.00,0.99,0.00,0.00,0.00,0.00
2020-02-26 11:46:18,001076,D,0.00,0.14,0.30,0.53,0.03,0.00
2020-02-26 11:53:37,001077,B,0.01,0.97,0.02,0.00,0.00,0.00
2020-02-26 12:01:18,001078,B,0.23,0.44,0.31,0.02,0.00,0.00
2020-02-26 12:04:05,001079,C,0.01,0.08,0.46,0.38,0.07,0.00
2020-02-26 12:05:56,001080,D,0.06,0.33,0.22,0.35,0.03,0.00
2020-02-26 12:06:04,001081,B,0.10,0.60,0.26,0.04,0.00,0.00
2020-02-26 12:09:52,001082,B,0.17,0.73,0.10,0.01,0.00,0.00
2020-02-26 12:12:03,001083,A,0.59,0.32,0.00,0.00,0.00,0.08
2020-02-26 12:14:11,001084,N,0.01,0.00,0.00,0.00,0.00,0.98
2020-02-26 12:21:46,001085,B,0.37,0.62,0.01,0.01,0.00,0.00
2020-02-26 12:21:55,001086,B,0.29,0.50,0.20,0.01,0.00,0.00
2020-02-26 12:22:45,001087,B,0.07,0.88,0.04,0.01,0.00,0.00
2020-02-26 12:23:29,001088,B,0.06,0.85,0.06,0.03,0.00,0.00
2020-02-26 12:24:03,001089,B,0.22,0.76,0.02,0.01,0.00,0.00
2020-02-26 12:24:58,001090,B,0.35,0.59,0.02,0.04,0.00,0.00
2020-02-26 12:25:15,001091,B,0.12,0.78,0.09,0.01,0.00,0.00
2020-02-26 12:25:44,001092,B,0.26,0.63,0.07,0.04,0.00,0.00
2020-02-26 12:27:11,001093,B,0.12,0.60,0.26,0.01,0.00,0.00
2020-02-26 12:28:16,001094,A,0.50,0.45,0.03,0.01,0.00,0.01
2020-02-26 12:29:26,001095,B,0.01,0.92,0.06,0.00,0.00,0.00
2020-02-26 12:30:44,001096,B,0.01,0.76,0.20,0.03,0.00,0.00
2020-02-26 12:31:02,001097,B,0.07,0.88,0.03,0.01,0.00,0.00
2020-02-26 12:32:36,001098,B,0.44,0.56,0.00,0.00,0.00,0.00
2020-02-26 12:34:52,001099,C,0.00,0.04,0.47,0.35,0.12,0.00
